ticker,name,sector,exchange,industry
OTC:FHNGY,FHNGY,Retail Trade,OTC,Apparel/Footwear Retail
OTC:DNLZY,DNLZY,Process Industries,OTC,Chemicals: Agricultural
OTC:RADLY,RADLY,Retail Trade,OTC,Drugstore Chains
OTC:WZZZY,WZZZY,Transportation,OTC,Airlines
OTC:GPTGF,GPTGF,Finance,OTC,Real Estate Investment Trusts
OTC:SIELY,SIELY,Producer Manufacturing,OTC,Electrical Products
OTC:GRBMF,GRBMF,Consumer Non-Durables,OTC,Food: Specialty/Candy
OTC:SMDPY,SMDPY,Health Technology,OTC,Pharmaceuticals: Major
OTC:AAPI,AAPI,Finance,OTC,Financial Conglomerates
OTC:TKSHF,TKSHF,Retail Trade,OTC,Department Stores
OTC:SHTPY,SHTPY,Health Technology,OTC,Medical Specialties
OTC:CNALF,CNALF,Consumer Services,OTC,Cable/Satellite TV
OTC:TODCF,TODCF,Industrial Services,OTC,Engineering & Construction
OTC:PTXLF,PTXLF,Energy Minerals,OTC,Integrated Oil
OTC:GIKLY,GIKLY,Health Technology,OTC,Pharmaceuticals: Major
OTC:TCYMF,TCYMF,Consumer Non-Durables,OTC,Beverages: Non-Alcoholic
OTC:TTBXF,TTBXF,Miscellaneous,OTC,Investment Trusts/Mutual Funds
OTC:GZPHF,GZPHF,Health Technology,OTC,Pharmaceuticals: Major
OTC:FYGGY,FYGGY,Consumer Durables,OTC,Home Furnishings
OTC:IIDDY,IIDDY,Non-Energy Minerals,OTC,Other Metals/Minerals
OTC:KLBAY,KLBAY,Non-Energy Minerals,OTC,Forest Products
OTC:MCHVF,MCHVF,Consumer Services,OTC,Casinos/Gaming
OTC:QRNNF,QRNNF,Transportation,OTC,Railroads
OTC:ERMAY,ERMAY,Non-Energy Minerals,OTC,Other Metals/Minerals
OTC:JVTSF,JVTSF,Consumer Services,OTC,Movies/Entertainment
OTC:YADGF,YADGF,Consumer Durables,OTC,Motor Vehicles
OTC:SSABF,SSABF,Producer Manufacturing,OTC,Metal Fabrication
OTC:ILPMY,ILPMY,Finance,OTC,Financial Conglomerates
OTC:GWLLF,GWLLF,Consumer Durables,OTC,Motor Vehicles
OTC:FANDF,FANDF,Finance,OTC,Major Banks
OTC:ELKEF,ELKEF,Non-Energy Minerals,OTC,Aluminum
OTC:SSAAY,SSAAY,Producer Manufacturing,OTC,Metal Fabrication
OTC:TKGBY,TKGBY,Finance,OTC,Major Banks
OTC:ABTZY,ABTZY,Utilities,OTC,Electric Utilities
OTC:MLLUY,MLLUY,Industrial Services,OTC,Engineering & Construction
OTC:WARFF,WARFF,Finance,OTC,Real Estate Development
OTC:ENREF,ENREF,Utilities,OTC,Alternative Power Generation
OTC:GPFOF,GPFOF,Finance,OTC,Major Banks
OTC:FRCEF,FRCEF,Non-Energy Minerals,OTC,Construction Materials
OTC:RKLIF,RKLIF,Commercial Services,OTC,Miscellaneous Commercial Services
OTC:DLEGF,DLEGF,Electronic Technology,OTC,Electronic Production Equipment
OTC:CKSNY,CKSNY,Producer Manufacturing,OTC,Miscellaneous Manufacturing
OTC:ELPQF,ELPQF,Retail Trade,OTC,Department Stores
OTC:YSHLF,YSHLF,Producer Manufacturing,OTC,Trucks/Construction/Farm Machinery
OTC:CHHQF,CHHQF,Non-Energy Minerals,OTC,Aluminum
OTC:GNNSF,GNNSF,Health Technology,OTC,Biotechnology
OTC:SHWGY,SHWGY,Health Technology,OTC,Medical Specialties
OTC:LLESY,LLESY,Industrial Services,OTC,Engineering & Construction
OTC:SCHYF,SCHYF,Consumer Services,OTC,Casinos/Gaming
OTC:GDNGY,GDNGY,Consumer Non-Durables,OTC,Tobacco
OTC:DKDRF,DKDRF,Energy Minerals,OTC,Integrated Oil
OTC:GXYEF,GXYEF,Consumer Services,OTC,Casinos/Gaming
OTC:PPOEF,PPOEF,Utilities,OTC,Electric Utilities
OTC:DNGFF,DNGFF,Producer Manufacturing,OTC,Electrical Products
OTC:LNGPF,LNGPF,Finance,OTC,Real Estate Development
OTC:MAORF,MAORF,Consumer Services,OTC,Hotels/Resorts/Cruise lines
OTC:ADTLF,ADTLF,Non-Energy Minerals,OTC,Other Metals/Minerals
OTC:TBNGY,TBNGY,Energy Minerals,OTC,Coal
OTC:HLDVF,HLDVF,Finance,OTC,Real Estate Development
OTC:OUTKY,OUTKY,Non-Energy Minerals,OTC,Steel
OTC:SECCF,SECCF,Commercial Services,OTC,Miscellaneous Commercial Services
OTC:BTGOF,BTGOF,Communications,OTC,Major Telecommunications
OTC:MINXF,MINXF,Miscellaneous,OTC,Investment Trusts/Mutual Funds
OTC:HRSHF,HRSHF,Consumer Durables,OTC,Electronics/Appliances
OTC:STGPF,STGPF,Finance,OTC,Real Estate Investment Trusts
OTC:BMRPF,BMRPF,Retail Trade,OTC,Discount Stores
OTC:FAURY,FAURY,Producer Manufacturing,OTC,Auto Parts: OEM
